id,description,best_suggested_hs_code,best_suggested_stat_code,best_suggested_tco_link,other_codes,total_time_seconds,reasoning
12,"coffee beans arabica medium roast 1kg",09012100,03,,"09012200/04; 09011100/01",23.722524881362915,"The product is classified under heading 0901 as it consists of coffee beans. The description specifies the beans are 'medium roast', which directs the classification to subheading 0901.21 for roasted, not decaffeinated coffee. The absence of 'decaffeinated' in the description confirms this choice over 0901.22. This results in the 8-digit code 09012100 with the corresponding statistical code 03. No tariff concession orders apply to this code."
13,"green tea matcha powder ceremonial grade 100g",09021000,37,,"09022000/09; 09023000/11",46.48481583595276,"The product is described as green tea in a 100g package. Chapter 9 of the tariff covers tea. Heading 0902 specifically covers 'Tea, whether or not flavoured'. Subheading 0902.10.00 is the most appropriate classification as it covers 'Green tea (not fermented) in immediate packings of a content not exceeding 3 kg'. The 100g size falls within this weight limit. The corresponding statistical code is 37. No tariff concession orders apply to this classification."
14,"cooking oil sunflower refined 2L bottle",15121900,23,,"15179000/19; 15121100/22",72.4460380077362,"The product is identified as refined sunflower cooking oil. Chapter 15 of the tariff schedule covers animal and vegetable fats and oils. Specifically, heading 1512 applies to sunflower-seed, safflower, or cotton-seed oil. The description specifies the oil is 'refined', making it fall under the subheading for oils other than crude. The most accurate classification is 1512.19.00, which is for sunflower oil that is not crude. The statistical code is derived from the tariff data for this classification. An alternative, 1517.90.00, is less appropriate as it pertains to mixtures of oils, whereas this product is a single type of oil. The crude oil classification, 1512.11.00, is incorrect because the product is explicitly refined."
15,"olive oil extra virgin cold pressed 750ml",15092000,01,,"15093000/02; 15099000/30",24.070277214050293,"The user's product is ""olive oil extra virgin cold pressed 750ml"". Chapter 15 of the tariff covers animal and vegetable fats and oils. Heading 1509 specifically covers ""Olive oil and its fractions, whether or not refined, but not chemically modified"". The most precise subheading is 1509.20.00, which is described as ""Extra virgin olive oil"". This aligns perfectly with the product description. The statistical code 01 corresponds to this classification. No tariff concession orders apply. Alternative classifications for other grades of olive oil are provided, such as virgin olive oil (15093000) or other packaged olive oil (15099000), but these are less accurate."
16,"protein powder whey isolate vanilla 2lb",21069096,01,,"35022000/21; 21061010/32",37.907764196395874,"The product is a flavoured whey protein isolate powder, which is a food preparation for human consumption, specifically as a sports supplement.

The classification decision hinges on whether to classify the product based on its primary substance (whey protein, Chapter 35) or its form as a prepared food product (Chapter 21).

The best suggestion is 2106.90.96. Chapter 21 covers 'Miscellaneous edible preparations'. The addition of vanilla flavouring and its presentation as a consumer product (protein powder) makes it a food preparation rather than a raw albuminoidal substance of Chapter 35. Within heading 21.06, the subheading for ""Formulated supplementary sports food"" (as defined in Additional Note 3 to Chapter 21) is the most specific description of the product's nature and intended use.

An alternative is 3502.20.00, which covers 'Milk albumin, including concentrates of two or more whey proteins'. This would be appropriate if the product was considered just the whey protein concentrate itself, but the flavouring makes it a preparation.

A second alternative is 2106.10.10 for 'Protein concentrates'. While correct, the 'Formulated supplementary sports food' description is more specific and therefore preferred under the General Rules of Interpretation.

No Tariff Concession Orders apply."
17,"stainless steel water bottle insulated 1L silver",96170000,39,,"73239300/56; 73239900/54",42.13099503517151,"The user has described an insulated stainless steel water bottle. The primary function of this item is to maintain the temperature of its contents, which defines it as a vacuum vessel.

Heading 9617.00.00 specifically covers ""Vacuum flasks and other vacuum vessels, complete"". This is the most precise classification for an insulated bottle, taking precedence over a more general classification by material.

An alternative classification is in Chapter 73, which covers articles of iron or steel. Heading 7323 is for ""Table, kitchen or other household articles and parts thereof, of iron or steel"". Within this, subheading 7323.93.00 covers items ""Of stainless steel"". While the bottle is a household article of stainless steel, this description is less specific than the functional description provided in Chapter 96. Therefore, 9617.00.00 is the most appropriate classification."
18,"plastic food containers 10 pack microwave safe 900ml",39241000,90,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=39241000,"39231090/74; 39249000/09",29.14710307121277,"The product is a set of reusable plastic containers for storing food in a household context.

Two primary headings in Chapter 39 were considered:
1.  **3923**: Articles for the conveyance or packing of goods. This heading typically covers items used for commercial transport and packaging (e.g., crates, disposable containers).
2.  **3924**: Tableware, kitchenware, other household articles... of plastics.

Heading 39.24 is more appropriate as the containers are described as 'food containers' and 'microwave safe,' which points to their use as durable, reusable kitchenware for domestic food storage and preparation.

Within heading 39.24, subheading **3924.10.00** specifically covers 'Tableware and kitchenware'. This is the most accurate description for the goods.

An alternative is 39.23.10.90 if the items are considered primarily for 'packing' goods, but their nature as reusable household items makes 39.24 the better fit. Another alternative is under 3924.90.00 as 'other household articles'."
19,"nonstick frying pan 28cm PFOA free black",76151000,31,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=76151000,"73239900/54; 73239300/56",46.32879114151001,"The classification of a frying pan depends on its primary constituent material. The user's description does not specify the metal. Aluminium is a very common material for non-stick cookware. Therefore, the best suggestion is 7615.10.00, which covers kitchen articles of aluminium. If the pan is made of iron or steel, it would fall under heading 7323. Alternatives are provided for non-stainless steel (7323.99.00) and stainless steel (7323.93.00). The non-stick coating does not change the classification of the article itself, which is determined by the base metal in accordance with Section XV of the tariff."
20,"chef knife 8 inch german steel 4116",82119210,34,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=82119210,"82119100/33; 82119290/35",34.31632208824158,"The product is a single, fixed-blade chef's knife made of steel. Chapter 82 covers tools and cutlery of base metal. Heading 8211 is for knives. The subheading 8211.92 specifically covers 'Other knives having fixed blades'. The most appropriate classification is 8211.92.10, which describes 'Kitchen knives, butchers' knives and slaughtermen's knives'. The statistical code is 34. Alternative classifications include 8211.91.00 for table knives and 8211.92.90 for other types of fixed-blade knives, though these are less specific."
21,"cutting board bamboo extra large 45x33cm",44191100,44,,"44191900/46; 46021100/24",40.657652139663696,"The product is a kitchenware item made from bamboo. The classification has been determined based on Chapter 44, which covers articles of wood. Chapter Note 6 of Chapter 44 clarifies that any reference to “wood” in this chapter also applies to bamboo. Heading 4419 specifically covers “Tableware and kitchenware, of wood”. Within this, subheading 4419.11 provides for “Bread boards, chopping boards and similar boards” of bamboo, making it the most accurate classification. The primary alternative is 4419.19, for other kitchenware of bamboo. A less likely alternative is under Chapter 46, which covers articles made from plaiting materials, including bamboo; this would only apply if the board were of a woven or plaited construction."
22,"bleach household disinfectant 5L concentrated",38089400,56,,"34025000/20; 28289000/15",40.55888891220093,"The product is a household disinfectant bleach in a 5L container.

1.  **Product Analysis:**
    *   **Function:** Disinfectant
    *   **Form:** Concentrated liquid
    *   **Packaging:** 5L container, indicating it is put up for retail sale.
    *   **Active Ingredient:** Bleach, typically sodium hypochlorite.

2.  **Tariff Chapter Evaluation:**
    *   **Chapter 38 (Miscellaneous chemical products):** Heading 38.08 explicitly covers ""disinfectants and similar products, put up in forms or packings for retail sale"". The subheading 3808.94 is for disinfectants. This is the most specific description.
    *   **Chapter 34 (Soap, organic surface-active agents, washing preparations...):** Heading 34.02 covers cleaning preparations. While a disinfectant cleans, its primary function is disinfection. According to the General Rules for the Interpretation of the Harmonized System, the most specific heading is preferred. Heading 38.08 is more specific than 34.02.
    *   **Chapter 28 (Inorganic chemicals...):** Heading 28.28 covers hypochlorites (the chemical in bleach). However, Chapter 28 notes exclude preparations put up for retail sale that are more specifically described elsewhere. As this product is a formulated disinfectant for retail sale, it is excluded from Chapter 28 and classified in Chapter 38.

3.  **Code Selection:**
    *   **Best Suggestion (3808.94.00 / 56):** This code directly covers ""Disinfectants"" that are not specified elsewhere in the heading. The product's primary function is as a disinfectant, and it is packed for retail sale.
    *   **Alternative 1 (3402.50.00 / 20):** This is for ""Preparations put up for retail sale"" in liquid form under the general heading for cleaning preparations. It is a viable alternative but less specific than 3808.94.00.
    *   **Alternative 2 (2828.90.00 / 15):** This code covers sodium hypochlorite. It is the least likely option as the product is a formulated preparation for a specific use (disinfecting) and put up for retail, not just the base chemical.

No tariff concession orders were found to be applicable."
23,"laundry detergent liquid lavender 2.7L",34025000,20,,"34029000/19; 34023900/91",32.24664378166199,"The product is a liquid laundry detergent in a 2.7L container, which classifies it as a washing preparation put up for retail sale. Chapter 34 covers soap and washing preparations. Heading 3402 is for organic surface-active agents and preparations. The most fitting subheading is 3402.50.00, which is specifically for 'Preparations put up for retail sale'. Within this, the statistical code 20 applies as the product is in 'Liquid form'. The alternatives, 3402.90.00 (for non-retail preparations) and 3402.39.00 (for other anionic preparations), are less precise for a finished retail product."
24,"dishwashing liquid lemon 1.5L",34025000,20,,"34029000/19; 34023900/91",30.35413384437561,"The product is a dishwashing liquid, which is a surface-active preparation for cleaning. Heading 34.02 of the tariff covers ""surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations"". As the product is packaged in a 1.5L bottle, it is considered ""put up for retail sale"", which directs the classification to subheading 3402.50.00. Within this subheading, the product's liquid form corresponds to statistical code 20. The first alternative, 3402.90.00 with statistical code 19, would apply if the preparation was not for retail sale (e.g., in bulk). The second alternative, 3402.39.00, covers other anionic organic surface-active agents, which could be a component of the liquid but is less specific than the code for a retail preparation."
25,"microfiber towels cleaning cloth 12 pack 40x40cm",63071030,30,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=63071030,"63071090/06; 63071010/28",41.00752568244934,"The product is a made-up textile article specifically designed for cleaning. Heading 63.07 covers ""Other made up textile articles"", and subheading 6307.10 explicitly includes ""dusters and similar cleaning cloths"". Microfiber cloths are typically constructed from nonwoven textiles, making 6307.10.30 (""Nonwovens"") the most appropriate classification. Section XI Note 7 defines ""made up"" articles (e.g., cut to size), and Note 8 directs such articles to Chapters 61-63, giving this chapter precedence over Chapter 56 which covers nonwovens in the piece."
26,"trash bags heavy duty 120L black 30 count",39232100,24,,"39232100/25; 39232900/30",56.382264137268066,"The product is classified under Chapter 39 of the tariff, which covers plastics and articles thereof. Specifically, heading 3923 applies to ""Articles for the conveyance or packing of goods, of plastics"". Subheading 3923.21.00 is chosen as it specifically covers ""Sacks and bags (including cones): Of polymers of ethylene"". Trash bags are a type of bag used for conveying waste and are most commonly made from low-density polyethylene (LDPE), which is reflected in the statistical code 24. Alternative classifications are provided for bags made of other densities of polyethylene (e.g., HDPE) or other types of plastic entirely. A TCO link is provided for the 'other plastics' classification as indicated by the tariff data."
27,"paper towels 6 rolls 2 ply",48182000,02,,"48189000/08; 48181000/01",28.733670711517334,"The product is described as paper towels in rolls for household use. Heading 4818 covers toilet paper and similar paper of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm. Subheading 4818.20.00 specifically provides for ""Handkerchiefs, cleansing or facial tissues and towels"", which accurately describes the goods. Heading 4803 was considered, but it applies to bulk paper stock in rolls with a width exceeding 36 cm (as per Chapter Note 8 to Chapter 48) and is therefore not appropriate for this finished consumer product. The alternatives are for toilet paper (4818.10.00) or the residual 'other' category (4818.90.00), which are less precise."
28,"toilet tissue 12 rolls 3 ply",48181000,01,,"48182000/02; 48189000/08",53.04002404212952,"The product is explicitly described as toilet tissue in rolls. Chapter 48 covers paper and paper articles. Heading 4818 is for 'Toilet paper and similar paper...of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm...'. Subheading 4818.10.00 specifically covers 'Toilet paper', making it the most accurate classification. The alternatives provided are for other, similar sanitary paper products or the residual 'other' category within the same heading."
29,"shampoo anti dandruff 400ml",33051000,24,,"33059000/27; 33052000/25",56.714412689208984,"The product is an anti-dandruff shampoo. Chapter 33 covers perfumery, cosmetic, or toilet preparations. Heading 3305 is for 'Preparations for use on the hair'. The most specific subheading is 3305.10.00, which explicitly covers 'Shampoos'. The anti-dandruff property does not move the product to Chapter 30 as a medicament, as such shampoos are typically considered toilet preparations. The provided tool output for 3305.10.00 confirms this is the correct 8-digit code with the associated statistical code being 24. The lookup indicates no tariff concession orders apply."
30,"conditioner hair repair 400ml",33059000,27,,"33051000/24; 33052000/25",33.52819013595581,"The product is a hair conditioner, which is a preparation for use on the hair. Chapter 33 covers perfumery, cosmetic, or toilet preparations, and heading 33.05 specifically provides for 'Preparations for use on the hair'. As the product is not a shampoo (3305.10.00), a preparation for permanent waving or straightening (3305.20.00), or a hair lacquer (3305.30.00), it falls into the residual subheading for 'Other' preparations for use on the hair, which is 3305.90.00. The corresponding statistical code is 27. The tariff lookup did not indicate any available Tariff Concession Orders."
31,"toothpaste whitening fluoride 120g mint",33061000,28,,"33069000/34; 33062090/45",43.90219306945801,"The product is a toothpaste, which is a preparation for oral hygiene. Chapter 33 covers perfumery, cosmetic, or toilet preparations, and heading 3306 specifically applies to 'Preparations for oral or dental hygiene'. Within this heading, subheading 3306.10.00 provides for 'Dentifrices', the specific classification for toothpaste. The product's description as a whitening toothpaste with fluoride in a 120g tube for retail sale fits squarely within this classification. The alternative, 3306.90.00, is for other oral hygiene preparations that are not dentifrices, such as mouthwash, making it less appropriate. No Schedule 4 concessions apply."
32,"toothbrush soft bristle 4 pack",96032100,58,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=96032100,"96032900/63; 96039000/83",27.216747999191284,"The product is a pack of toothbrushes. Chapter 96 of the tariff covers miscellaneous manufactured articles. Within this chapter, heading 9603 covers brooms and brushes. The most appropriate subheading is 9603.21.00, as it specifically names 'Tooth brushes'. The statistical code 58 applies. The lookup indicates that Tariff Concession Orders may be available for this classification. Alternative classifications are less specific but fall within the same chapter for other types of brushes."
33,"body wash aloe vera 1L",34013000,07,,"33073000/11; 33079000/14",29.886413097381592,"The product is a liquid preparation for washing the skin, put up for retail sale. Heading 3401 specifically covers ""organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"". This is a more precise description than the more general ""bath preparations"" found in heading 3307. Chapter 33 Note 1(b) explicitly excludes products of 3401, reinforcing this classification. Therefore, 3401.30.00 is the most appropriate classification."
34,"hand soap foaming 500ml unscented",34013000,07,,"34012000/05; 34011900/58",59.58212089538574,"The user's product is a 500ml foaming hand soap. This is a preparation for washing the skin, it is in liquid form, and it is put up for retail sale.

Heading 34.01 of the tariff covers soap and similar preparations. The most appropriate subheading is 3401.30.00, which is for ""Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"". This description aligns perfectly with the product's characteristics.

An alternative classification is 3401.20.00 for ""Soap in other forms"". This would be applicable if the product is a true liquid soap rather than one based on other organic surface-active agents. A second, less likely, alternative is 3401.19.00, which is a basket provision for other types of soap."
35,"facial tissues pocket 10 packs",48182000,02,,"48189000/08; 48239090/59",64.06559300422668,"The user's product, 'facial tissues pocket 10 packs', is classified based on its material and function. The primary material is paper, placing it in Chapter 48. The function is for sanitary and personal hygiene use.

Heading 48.18 covers 'Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes... handkerchiefs, cleansing tissues, towels...'.

The most appropriate subheading is 4818.20.00, which specifically names 'Handkerchiefs, cleansing or facial tissues and towels'. This is a direct match for the product.

Alternative classifications include the residual category 4818.90.00 ('Other' articles for sanitary use) and the very general residual category 4823.90.90 ('Other' articles of paper). However, the principle of tariff classification requires using the most specific description available, making 4818.20.00 the best fit."
36,"disposable gloves nitrile medium 100 count",40151990,96,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=40151990,"40151200/10; 39262090/39",42.12703013420105,"The product is disposable gloves made of nitrile, which is a form of synthetic rubber. Chapter 40 of the tariff classifies rubber and articles thereof. Heading 4015 provides for ""Articles of apparel and clothing accessories (including gloves...)...of vulcanised rubber"". As the description does not specify a medical, surgical, dental, or veterinary purpose, the goods are best classified under the subheading for ""Other"" gloves, which is 4015.19.90, with statistical code 96. An alternative is provided under 4015.12.00 in case the gloves are for medical use. A less likely alternative under Chapter 39 is also suggested, should the material not meet the definition of rubber in Chapter 40."
37,"first aid bandages assorted sizes 50 count",30051000,05,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=30051000,"30059090/06; 30059010/02",43.371285915374756,"The user's product, ""first aid bandages assorted sizes 50 count,"" is classified based on its form, function, and packaging. The key characteristics are that they are bandages for medical use, put up in retail packaging.

Chapter 30 of the tariff covers ""Pharmaceutical products."" Heading 30.05 specifically applies to ""Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes.""

The product is a package of 50 bandages, which falls under the description of being ""put up in forms or packings for retail sale.""

The best fit is 3005.10.00, which covers ""Adhesive dressings and other articles having an adhesive layer."" Standard first aid bandages are typically of this type.

Alternative classifications are provided for non-adhesive bandages (3005.90.90) or wadding-type dressings (3005.90.10), although these are less likely descriptions for the product. All suggested codes have potential Tariff Concession Orders available."
38,"vitamin C tablets 1000mg 60 count",21069099,91,,"30045000/75; 21069095/01",46.231557846069336,"The product is a vitamin C supplement in tablet form for retail sale. The primary classification choice is between Chapter 30 (Pharmaceutical products) and Chapter 21 (Miscellaneous edible preparations).

Heading 3004.50.00 covers medicaments containing vitamins, put up in measured doses or for retail sale. However, Additional Note 2 to Chapter 30 excludes goods containing vitamins from heading 3004 unless they are specified in the Australian Poisons Standard. As high-dose vitamin C tablets are generally available as dietary supplements, they are not considered scheduled medicaments.

Furthermore, Additional Note 1 to Section IV (which contains Chapter 21) directs that goods excluded from heading 3004 by Chapter 30's Additional Note 2 are to be classified under heading 2106.

Therefore, the product is best classified as a food preparation not elsewhere specified or included under heading 2106.90. The most appropriate subheading is 2106.90.99 with statistical code 91 as it is not a defined 'formulated supplementary food'.

An alternative is 3004.50.00, should the product be considered a medicament. Another alternative within Chapter 21 is 2106.90.95, which covers 'formulated supplementary food'."
39,"omega 3 fish oil capsules 1000mg 120 count",21069099,91,,"15042000/06; 21069095/01",35.43341517448425,"The product is a food supplement (fish oil) put up in measured doses (capsules) for retail sale. According to the tariff notes, such preparations are excluded from Chapter 15 (which covers the raw oil) and Chapter 30 (as it's a food supplement, not a medicament for treating a specific disease). The correct classification is in Chapter 21 as a ""Miscellaneous edible preparation"". Heading 21.06 covers ""Food preparations not elsewhere specified or included"". The subheading 2106.90.99 (Other) is the most appropriate classification as it is a food supplement for general health and wellbeing. An alternative is provided in 15.04 if the goods are classified as the raw substance, ignoring the capsule preparation."
40,"thermometer digital infrared non contact",90251900,40,,"90181900/69; 90182000/20",63.005661964416504,"The classification of a digital infrared non-contact thermometer depends on its intended use. Heading 9025 is the primary and most appropriate classification as it specifically covers thermometers and pyrometers. An infrared thermometer is a type of pyrometer. The description provided does not specify a medical use, making the general-use heading the default.

However, if the thermometer is specifically designed and marketed for medical/clinical use for taking body temperature, it would be classified under heading 9018 as an instrument used in medical sciences. Specifically, 9018.19.00 (statistical code 69) for physiological monitoring equipment.

A third, less likely alternative is 9018.20.00, which covers infra-red ray apparatus, though this heading typically pertains to therapeutic rather than diagnostic equipment.

Given the ambiguity, the most accurate classification based on the provided text is 9025.19.00 40."
41,"face mask surgical 50 pieces blue",63079099,60,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=63079099,"63079040/07; 30059000/53",46.55369281768799,"The product is a surgical face mask, which is a made-up textile article. Chapter 63 covers other made-up textile articles not specified elsewhere. Heading 6307 is for 'Other made up articles'. Within this heading, subheading 6307.90 is for 'Other'. Surgical masks are typically made of non-woven material. While 6307.90.40 covers articles of nonwovens, the Australian tariff contains a specific statistical code for face masks, including surgical masks, under the more general classification of 6307.90.99. Therefore, 6307.90.99 with statistical code 60 is the most precise classification. The alternatives are provided based on material composition (non-woven) and as a general textile article. A TCO may be available under Schedule 4, Item 57, by-law 2200082 for medical and hygiene goods, but this requires specific conditions to be met."
42,"usb flash drive 64GB usb 3.1 silver",85235100,50,,"85235900/95; 85238000/31",53.56268310546875,"The user's product is a USB flash drive used for electronic data storage.

1.  **Product Analysis**: The key characteristics are that it is a solid-state, non-volatile, portable electronic storage device with a USB interface.

2.  **Tariff Chapter Selection**: The most relevant tariff heading is 8523, which covers ""Discs, tapes, solid-state non-volatile storage devices, “smart cards” and other media for the recording of sound or of other phenomena..."". This is more specific than other potential headings, such as 8471 for computer parts.

3.  **Code Lookup & Justification**:
    *   Chapter 85, Note 6(a) defines ""Solid-state non-volatile storage devices"" as devices with a connecting socket and flash memory, which accurately describes a USB flash drive.
    *   The `tariff_chapter_lookup` for heading 8523 confirms that subheading `8523.51.00` is specifically for ""Solid-state non-volatile storage devices"". This is the most precise classification for a USB flash drive.
    *   The corresponding statistical code for this HS code is `50`.
    *   The lookup data does not indicate any available Tariff Concession Orders for this code.

4.  **Alternatives**:
    *   `85235900` (stat code `95`) is a plausible alternative, covering ""Other"" semiconductor media if the device were not considered to fit the specific definition of 8523.51.00.
    *   `85238000` (stat code `31`) is a broader ""Other"" category within the 8523 heading, serving as a more general alternative.

5.  **Conclusion**: The best classification is 85235100 / 50 due to the highly specific description in the tariff schedule and its corresponding notes."
